Episode,Reward
0,-80.288
1,-80.2695
2,-79.7846
3,-80.6102
4,-79.7428
5,-80.3105
6,-80.196
7,-80.1664
8,-80.3186
9,-80.4729
10,-80.0504
11,-80.7869
12,-80.9788
13,-79.8517
14,-81.0219
15,-79.7031
16,-80.3461
17,-80.1078
18,-80.5926
19,-80.1238
20,-80.6096
21,-81.0775
22,-79.6594
23,-80.4457
24,-80.4747
25,-79.7934
26,-73.5852
27,-70.5588
28,-59.1759
29,-53.2107
30,4.32119
31,4.06343
32,17.189
33,17.7039
34,17.2462
35,20.5333
36,19.842
37,15.591
38,16.4664
39,16.4948
40,14.0718
41,16.7565
42,11.7835
